X,Y,committor
-1.4945799772641,1.41447730194038,0.0617590930393966
-1.49457997687237,1.44168429591603,0.0602788687740077
-1.49457997542309,1.38727030801672,0.0633365423233697
-1.49457997428631,1.4688912897445,0.0588919265035261
-1.49457997144277,1.36006331434275,0.0650149476421772
-1.49457996966788,1.4960982832444,0.0575941962073336
-1.49457996554213,1.33285632109424,0.0667977257663991
-1.4945799632838,1.52330527626743,0.0563815498808156
-1.49457995804447,1.30564932840715,0.0686878595231472
-1.49457995547996,1.55051226870902,0.0552498563672777
-1.49457994934513,1.27844233636564,0.070687761865366
-1.49457994665134,1.57771926051391,0.0541950240779691
-1.49457993987395,1.2512353449977,0.0727991268460417
-1.49457993720977,1.60492625167658,0.0532130336767337
-1.49457993005836,1.22402835427826,0.0750227729117745
-1.49457992755276,1.6321332422365,0.0522999626518254
-1.49457992029149,1.19682136413806,0.0773584863871946
-1.49457991803737,1.65934023226908,0.051452003453127
-1.49457991090822,1.16961437447635,0.0798048753736595
-1.49457990896153,1.68654722187407,0.0506654765932807
-1.49457990217043,1.14240738517488,0.0823592461684991
-1.49457990055348,1.71375421116335,0.0499368398345251
-1.49457989426141,1.11520039611132,0.0850175153318763
-1.49457989296896,1.74096120024963,0.049262694333222
-1.49457988728807,1.08799340717043,0.0877741703393157
-1.49457988629476,1.76816818923715,0.0486397884032626
-1.4945798812892,1.06078641825229,0.0906222901402467
-1.4945798805571,1.79537517821508,0.0480650193913679
-1.4945798762475,1.03357942927718,0.0935536338775962
-1.49457987573303,1.82258216725356,0.0475354340296605
-1.49457987210351,1.00637244018739,0.0965588017252861
-1.49457987176305,1.84978915640211,0.0470482275384745
-1.49457986876939,0.979165450946504,0.0996274666976835
-1.49457986856382,1.87699614568973,0.046600741688403
-1.49457986614152,0.951958461536895,0.102748670946146
-1.49457986603983,1.90420313512574,0.0461904619881529
-1.49457986409373,1.93141012469992,0.0458150141376072
-1.49457986411093,0.924751471956212,0.105911175085631
-1.49457986263548,1.9586171143803,0.0454721598683552
-1.49457986257116,0.897544482213508,0.109103845020689
-1.494579861591,1.98582410410561,0.0451597922828249
-1.49457986142363,0.870337492325584,0.112316057952887
-1.49457986058061,0.843130502313937,0.115538107968567
-1.49457985996616,0.815923512202563,0.118761591887301
-1.49457985951537,0.788716522016796,0.121979757825275
-1.49457985917222,0.761509531783284,0.125187802001463
