1505,1557,1608
710,792,788
476,577,547
98,117,72
7027,6957,7098
7167,7027,7098
7027,7167,7026
7309,7310,7449
15413,15419,15421
15391,15400,15383
15398,15403,15411
1404,1502,1505
1502,1557,1505
792,863,788
244,216,272
60,98,72
60,26,49
1102,1058,1012
6887,7027,7026
7027,6887,6957
7310,7451,7449
7239,7310,7309
7239,7167,7098
7239,7309,7167
7169,7239,7098
7239,7169,7310
15417,15408,15415
15407,15413,15400
15391,15407,15400
15413,15407,15419
15407,15417,15419
15407,15408,15417
15403,15388,15395
15398,15388,15403
15351,15363,15340
15339,15350,15325
15350,15339,15362
14934,14905,14961
14759,14689,14714
1014,1059,967
1059,1014,1107
2154,2096,2078
2096,2154,2210
2096,1986,2078
1986,2096,1988
1922,1986,1988
1986,1922,1877
2213,2099,2210
2099,2096,2210
2096,2099,1988
1651,1707,1597
1547,1651,1597
1986,1982,2078
1982,1986,1877
1922,1820,1877
1820,1809,1877
1809,1820,1713
1105,1064,972
1058,1105,972
1054,1102,1012
216,242,272
160,188,213
304,244,272
334,304,272
244,304,275
63,103,74
147,166,112
282,248,309
31,6,25
53,31,25
35,53,25
20,3,36
49,20,36
26,20,49
147,199,166
117,97,72
26,33,7
33,60,72
60,33,26
76,70,112
4098,3966,4031
4165,4098,4031
1270,1321,1222
2459,2518,2401
1937,1884,1827
1884,1937,1995
1884,1773,1827
1773,1884,1830
1004,1050,960
7820,7750,7679
6752,6604,6677
6885,6887,7026
6752,6885,6745
6885,6752,6887
7451,7552,7449
12071,12192,12066
7381,7451,7310
6887,6816,6957
6746,6816,6677
6816,6752,6677
6752,6816,6887
1605,1454,1661
1761,1816,1866
15378,15384,15395
15388,15378,15395
15338,15361,15351
15380,15361,15370
15373,15391,15383
15373,15380,15391
15363,15373,15383
15373,15363,15351
15361,15373,15351
15373,15361,15380
15389,15380,15370
15339,15352,15362
15363,15352,15340
15313,15339,15325
15400,15392,15383
15382,15372,15362
15372,15350,15362
15253,15217,15236
15093,15070,15042
15267,15283,15251
14410,14485,14447
14876,14905,14934
14653,14683,14720
14950,14978,14924
14372,14410,14447
14334,14372,14296
14410,14372,14334
10850,10717,10783
10725,10658,10591
9309,9443,9373
8832,8760,8691
8760,8832,8900
8545,8473,8405
8610,8470,8542
12784,12846,12725
12658,12781,12721
12900,12781,12840
12186,12240,12296
14365,14441,14404
